Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
Matthew Dubiel,Illinois,Republican,no,Senate,MattOnAir,
Peggy Hubbard,Illinois,Republican,no,Senate,PeggyHubbardIL,
Maryann Mahlen,Illinois,Republican,no,Senate,NA,
Bobby Piton,Illinois,Republican,no,Senate,UAmerica333 ; BobbyPiton333,
Kathy Salvi,Illinois,Republican,no,Senate,salviforsenate,
Jimmy Lee Tillman,Illinois,Republican,no,Senate,NA,
Anthony Williams,Illinois,Republican,no,Senate,NA,
Thomas McDermott Jr.,Indiana,Democratic,no,Senate,tommcdermottjr,yes
Todd Young,Indiana,Republican,yes,Senate,ToddYoungIN ; SenToddYoung,yes
Abby Finkenauer,Iowa,Democratic,no,Senate,Abby4Iowa,
Michael T. Franken,Iowa,Democratic,no,Senate,FrankenforIowa,
Glenn Hurst,Iowa,Democratic,no,Senate,DrGlennHurst,
Jim Carlin,Iowa,Republican,no,Senate,carlinforsenate,
Chuck Grassley,Iowa,Republican,yes,Senate,ChuckGrassley,
Mark Holland,Kansas,Democratic,no,Senate,MarkHollandKCK,
Michael Soetaert,Kansas,Democratic,no,Senate,SoetaertMichael,
Joan Farr,Kansas,Republican,no,Senate,JoanEFarr,
Jerry Moran,Kansas,Republican,yes,Senate,JerryMoran,
Charles Booker,Kentucky,Democratic,no,Senate,Booker4KY,yes
Ruth Gao,Kentucky,Democratic,no,Senate,ruthgao4ky,no
Joshua Blanton Sr.,Kentucky,Democratic,no,Senate,JoshuaBlantonSr,no
John Merrill,Kentucky,Democratic,no,Senate,NA,no
Arnold Blankenship,Kentucky,Republican,no,Senate,NA,no
Valerie Frederick,Kentucky,Republican,no,Senate,NA,no
Paul V. Hamilton,Kentucky,Republican,no,Senate,Hamilton4S,no
John Scheiss,Kentucky,Republican,no,Senate,NA,no
Tami Stanfield,Kentucky,Republican,no,Senate,NA,no
Rand Paul,Kentucky,Republican,yes,Senate,RandPaul ; SenRandPaul,yes
Gary Chambers,Louisiana,Democratic,no,Senate,GaryChambersJr,
Luke Mixon,Louisiana,Democratic,no,Senate,LukeMixonLA,
John Kennedy,Louisiana,Republican,yes,Senate,SenJohnKennedy,
Michelle Laurence Smith,Maryland,Democratic,no,Senate,MichelleSenate,
Chris Van Hollen,Maryland,Democratic,yes,Senate,VanHollenForMD ; ChrisVanHollen,
Chris Chaffee,Maryland,Republican,no,Senate,ChaffeeUSSenate,
George Davis,Maryland,Republican,no,Senate,GeorgeElect,
